Nematoda,Relative,Sample ,Grouping,Type,DNAcon,Sequence
Axonolaimus,0.141036409,Sen2,Sensitive,Sensitive_Dominance,6,28S
Desmolaimus,79.63060905,Sen2,Sensitive,Sensitive_Dominance,6,28S
Sabatieria,0.241155101,Sen3,Tolerant ,Sensitive_Dominance,1,28S
Halomonhystera,0.169927857,Sen3,Tolerant ,Sensitive_Dominance,0.6,28S
Leptolaimus,0,Sen3,Tolerant ,Sensitive_Dominance,3,28S
Paracanthonchus,0.087507759,Sen3,Less sensitive,Sensitive_Dominance,1.7,28S
Microlaimus,2.083905694,Sen3,Less sensitive,Sensitive_Dominance,1.7,28S
Daptonema,20.41372854,Sen3,Less sensitive,Sensitive_Dominance,2,28S
Axonolaimus,0.177050579,Sen3,Sensitive,Sensitive_Dominance,6,28S
Desmolaimus,76.82672446,Sen3,Sensitive,Sensitive_Dominance,6,28S
Sabatieria,27.27272727,Tol,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,36.36363636,Tol,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,9.090909091,Tol,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,6.818181818,Tol,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,4.545454545,Tol,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,9.090909091,Tol,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,9.090909091,Les,Tolerant ,Less Sensitive_Dominance,2,28S
Halomonhystera,7.727272727,Les,Tolerant ,Less Sensitive_Dominance,1.7,28S
Leptolaimus,5,Les,Tolerant ,Less Sensitive_Dominance,1.1,28S
Paracanthonchus,18.18181818,Les,Less sensitive,Less Sensitive_Dominance,4,28S
Microlaimus,22.72727273,Les,Less sensitive,Less Sensitive_Dominance,5,28S
Daptonema,31.81818182,Les,Less sensitive,Less Sensitive_Dominance,7,28S
Axonolaimus,2.272727273,Les,Sensitive,Less Sensitive_Dominance,0.5,28S
Desmolaimus,3.181818182,Les,Sensitive,Less Sensitive_Dominance,0.7,28S
Sabatieria,4.545454545,Sen,Tolerant ,Sensitive_Dominance,1,28S
Halomonhystera,2.727272727,Sen,Tolerant ,Sensitive_Dominance,0.6,28S
Leptolaimus,13.63636364,Sen,Tolerant ,Sensitive_Dominance,3,28S
Paracanthonchus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,28S
Microlaimus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,28S
Daptonema,9.090909091,Sen,Less sensitive,Sensitive_Dominance,2,28S
Axonolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,28S
Desmolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,28S
Sabatieria,15.30632314,Tol1,Tolerant ,Tolerant_Dominance,6,Shotgun
Halomonhystera,36.14170519,Tol1,Tolerant ,Tolerant_Dominance,8,Shotgun
Leptolaimus,1.879486676,Tol1,Tolerant ,Tolerant_Dominance,2,Shotgun
Paracanthonchus,3.443062248,Tol1,Less sensitive,Tolerant_Dominance,1.5,Shotgun
Microlaimus,2.3047989,Tol1,Less sensitive,Tolerant_Dominance,1,Shotgun
Daptonema,21.86301504,Tol1,Less sensitive,Tolerant_Dominance,2,Shotgun
Axonolaimus,4.802586292,Tol1,Sensitive,Tolerant_Dominance,0.75,Shotgun
Desmolaimus,2.271609794,Tol1,Sensitive,Tolerant_Dominance,0.75,Shotgun
Sabatieria,15.37027488,Tol2,Tolerant ,Tolerant_Dominance,6,Shotgun
Halomonhystera,34.80544207,Tol2,Tolerant ,Tolerant_Dominance,8,Shotgun
Leptolaimus,2.425131887,Tol2,Tolerant ,Tolerant_Dominance,2,Shotgun
Paracanthonchus,5.504739994,Tol2,Less sensitive,Tolerant_Dominance,1.5,Shotgun
Microlaimus,2.02451311,Tol2,Less sensitive,Tolerant_Dominance,1,Shotgun
Daptonema,21.33116497,Tol2,Less sensitive,Tolerant_Dominance,2,Shotgun
Axonolaimus,4.629725119,Tol2,Sensitive,Tolerant_Dominance,0.75,Shotgun
Desmolaimus,2.215699496,Tol2,Sensitive,Tolerant_Dominance,0.75,Shotgun
Sabatieria,14.64261151,Tol3,Tolerant ,Tolerant_Dominance,6,Shotgun
Halomonhystera,34.87530886,Tol3,Tolerant ,Tolerant_Dominance,8,Shotgun
Leptolaimus,3.083526505,Tol3,Tolerant ,Tolerant_Dominance,2,Shotgun
Paracanthonchus,5.986830374,Tol3,Less sensitive,Tolerant_Dominance,1.5,Shotgun
Microlaimus,1.900934865,Tol3,Less sensitive,Tolerant_Dominance,1,Shotgun
Daptonema,20.96823496,Tol3,Less sensitive,Tolerant_Dominance,2,Shotgun
Axonolaimus,4.694704129,Tol3,Sensitive,Tolerant_Dominance,0.75,Shotgun
Desmolaimus,2.325699875,Tol3,Sensitive,Tolerant_Dominance,0.75,Shotgun
Sabatieria,4.200323102,Les1,Tolerant ,Less Sensitive_Dominance,2,Shotgun
Halomonhystera,9.962304792,Les1,Tolerant ,Less Sensitive_Dominance,1.7,Shotgun
Leptolaimus,0.753904146,Les1,Tolerant ,Less Sensitive_Dominance,1.1,Shotgun
Paracanthonchus,13.94722671,Les1,Less sensitive,Less Sensitive_Dominance,4,Shotgun
Microlaimus,2.638664513,Les1,Less sensitive,Less Sensitive_Dominance,5,Shotgun
Daptonema,29.5638126,Les1,Less sensitive,Less Sensitive_Dominance,7,Shotgun
Axonolaimus,9.369951535,Les1,Sensitive,Less Sensitive_Dominance,0.5,Shotgun
Desmolaimus,6.408185245,Les1,Sensitive,Less Sensitive_Dominance,0.7,Shotgun
Sabatieria,4.550903155,Les2,Tolerant ,Less Sensitive_Dominance,2,Shotgun
Halomonhystera,11.61079651,Les2,Tolerant ,Less Sensitive_Dominance,1.7,Shotgun
Leptolaimus,0.65308147,Les2,Tolerant ,Less Sensitive_Dominance,1.1,Shotgun
Paracanthonchus,15.24821229,Les2,Less sensitive,Less Sensitive_Dominance,4,Shotgun
Microlaimus,6.816021163,Les2,Less sensitive,Less Sensitive_Dominance,5,Shotgun
Daptonema,38.94928285,Les2,Less sensitive,Less Sensitive_Dominance,7,Shotgun
Axonolaimus,1.467366593,Les2,Sensitive,Less Sensitive_Dominance,0.5,Shotgun
Desmolaimus,3.554747241,Les2,Sensitive,Less Sensitive_Dominance,0.7,Shotgun
Sabatieria,3.680288344,Les3,Tolerant ,Less Sensitive_Dominance,2,Shotgun
Halomonhystera,11.75101067,Les3,Tolerant ,Less Sensitive_Dominance,1.7,Shotgun
Leptolaimus,0.436413228,Les3,Tolerant ,Less Sensitive_Dominance,1.1,Shotgun
Paracanthonchus,16.81262482,Les3,Less sensitive,Less Sensitive_Dominance,4,Shotgun
Microlaimus,6.441965808,Les3,Less sensitive,Less Sensitive_Dominance,5,Shotgun
Daptonema,37.73513223,Les3,Less sensitive,Less Sensitive_Dominance,7,Shotgun
Axonolaimus,2.373971068,Les3,Sensitive,Less Sensitive_Dominance,0.5,Shotgun
Desmolaimus,2.502557109,Les3,Sensitive,Less Sensitive_Dominance,0.7,Shotgun
Sabatieria,1.927769296,Sen1,Tolerant ,Sensitive_Dominance,1,Shotgun
Halomonhystera,15.72608839,Sen1,Tolerant ,Sensitive_Dominance,0.6,Shotgun
Leptolaimus,0.485866355,Sen1,Tolerant ,Sensitive_Dominance,3,Shotgun
Paracanthonchus,7.811675061,Sen1,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Microlaimus,1.190764972,Sen1,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Daptonema,14.21783365,Sen1,Less sensitive,Sensitive_Dominance,2,Shotgun
