,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_454,0,0,0,0,0,0.014873849,0,0,0,0,0,0,Sensitive
18S_479,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_483,0,0,0,0.007683373,0,0,0,0,0,0,0,0,Sensitive
18S_484,0,0,0,0,0,0,0,0.009785158,0,0,0,0,Sensitive
18S_485,0,0,0,0,0,0,0,0,0.005991369,0,0,0,Sensitive
18S_489,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_491,0,0,0,0,0.010938489,0,0,0,0,0,0,0,Sensitive
18S_498,0,0,0,0,0.009944081,0,0,0,0,0,0,0,Sensitive
18S_499,0,0,0,0,0,0.010377104,0,0,0,0,0,0,Sensitive
18S_507,0,0,0.01064218,0,0,0,0,0,0,0,0,0,Sensitive
18S_510,0,0,0.010262102,0,0,0,0,0,0,0,0,0,Sensitive
18S_520,0,0,0,0,0,0,0,0,0,0.004731236,0,0,Sensitive
18S_532,0,0,0,0,0,0.007263973,0,0,0,0,0,0,Sensitive
18S_533,0,0.011166696,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_541,0,0,0,0,0,0,0,0,0,0,0.006656263,0,Sensitive
18S_548,0,0,0,0,0,0,0,0,0,0,0.005916678,0,Sensitive
18S_552,0,0,0,0,0,0,0,0.004316982,0,0,0,0,Sensitive
18S_554,0.003600203,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_557,0,0,0,0,0,0.004496745,0,0,0,0,0,0,Sensitive
18S_577,0,0,0,0,0,0,0,0,0,0,0,0.004459419,Sensitive
18S_579,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_589,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_592,0,0,0,0,0,0,0,0,0,0,0.002218754,0,Sensitive
18S_593,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_601,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_608,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_15,0.61383455,0.500268001,0.330667721,0.146436045,0,0.276376869,1.911660264,3.979681407,2.468796422,0.371599178,0.729600402,0.716975523,Less sensitive
18S_16,0.525629585,0.421542791,0.197260399,0.092652436,0,0.242132426,1.890079535,2.933245075,2.594791386,0.453015867,0.343167346,0.575760579,Less sensitive
18S_17,0.309874584,0.243992317,0.125805765,0.124967798,0,0.258735792,1.804933747,2.511907674,1.905079095,0.232816249,0.148286752,0.447428402,Less sensitive
18S_20,0.256900174,0.300384134,0.183197519,0.09174851,0,0.197164975,1.30818459,1.845941318,1.195982963,0.191220797,0.227422325,0.364185908,Less sensitive
18S_34,0.024429946,0.086541897,0.102240939,0,0.023865795,0,0.620347881,0.305930094,0.256923996,0.113352534,0.166036787,0.186304628,Less sensitive
18S_35,0.023658474,0.071466857,0.096919849,0,0.043091018,0.024905049,0.465359005,0.232829206,0.167934546,0.061308936,0.063974085,0.170448915,Less sensitive
18S_37,0.015686597,0,0.130366699,0,0,0,0.346861181,0.275423424,0.185027569,0.048692306,0,0.214052126,Less sensitive
18S_41,0,0.048016795,0.05625152,0,0.027180488,0.014527946,0.284473254,0.200020146,0.072601294,0.044158205,0.052140728,0.085719948,Less sensitive
18S_43,0,0,0,0,0,0,0.175000098,0.200595743,0.289347875,0,0,0,Less sensitive
18S_47,0.032658981,0.064208505,0,0.021242266,0,0.04289203,0.100840864,0.068783906,0.096919203,0.063871689,0,0,Less sensitive
18S_52,0.010800608,0.045225121,0.027365604,0,0.057012732,0.023867339,0.165975429,0.043169816,0.028547111,0.010842416,0.062864708,0.046080666,Less sensitive
18S_73,0,0,0,0,0,0,0,0,0.119474945,0.103692927,0,0,Less sensitive
